"","SAMPLE_NUMBER","NAME","ENTRY.y","C: 10_0","C: 10_1 w1 cis","C: 11_0","C: 12_0","C: 12_1 w3 cis","C: 12_1 w6 cis","C: 12_1 w9 cis","C: 14_0","C: 14_0 iso","C: 14_1 w5 cis","C: 15_0","C: 15_0 ante-iso","C: 15_1 w5 cis","C: 16_0","C: 16_0 iso","C: 16_1 trans","C: 16_1 trans+ (Raw)","C: 16_1 trans++ (Raw)","C: 16_1 trans+++ (Raw)","C: 16_1 trans++++ (Raw)","C: 16_1 w7 cis","C: 17_0","C: 17_0 ante-iso","C: 17_0 iso","C: 17_1 w7 cis","C: 18_0","C: 18_0 iso","C: 18_1 cis","C: 18_1 cis++ (Raw)","C: 18_1 cis+++ (Raw)","C: 18_1 trans","C: 18_1 trans++ (Raw)","C: 18_1 trans+++ (Raw)","C: 18_1 w9 cis+ (Raw)","C: 18_1 w9 trans+ (Raw)","C: 18_2 cis9 trans12","C: 18_2 conj","C: 18_2 trans9 cis12","C: 18_2 w6 cis","C: 18_2 w6 trans","C: 18_3 trans","C: 18_3 trans+ (Raw)","C: 18_3 trans++ (Raw)","C: 18_3 trans+++ (Raw)","C: 18_3 w3 cis","C: 18_3 w6 cis","C: 18_4 w3","C: 20_0","C: 20_1 w9 cis","C: 20_2 w6 cis","C: 20_3 w3 cis","C: 20_3 w6 cis","C: 20_4 w3","C: 20_4 w6 cis","C: 20_5 w3 cis","C: 21_5 w3","C: 22_0","C: 22_1 w9 cis","C: 22_2 w6 cis","C: 22_5 w3","C: 22_5 w6","C: 22_6 w3 cis","C: 24_0","C: 24_1 w9 cis","C: 4_0","C: 6_0","C: 8_0"
"224",10347375,"FAME02-17-0297","SHIM2010P_B","1.312","0","0","11.124","0","0","0","4.866","0","0.029","0.06","0","0","8.515","0","","0","0","","0","0.156","0.076","0","0","","3.679","0","46.626","0.702","0","0.064","0","0.064","45.924","","0","0.028","0","18.153","0","0","0","0","0","1.53","0.092","0","0.258","0.198","0.038","0","0.028","0","0.311","0.086","0","0.526","0","0.039","","0","0.368","0.267","","0","0.114","1.402"
"225",10352099,"FAME02-17-0298","SHIM2010P_F","1.352","0","0","11.374","0","0","0","5.001","0","0.028","0.065","0","0","8.52","0","0.022","0","0","0.022","0","0.162","0.077","0.014","0","0.044","3.653","0","46.226","0.684","0","0.09","0","0.053","45.542","0.037","0","0.02","0","18.048","0","0","0","0","0","1.542","0.094","0","0.241","0.203","0","0","0.033","0","0.307","0.082","0","0.529","0","0.035","0.02","0","0.36","0.269","0.021","0","0.116","1.453"
"226",10352114,"FAME02-17-0299","SHIM2010P_B","1.339","0","0","11.345","0","0","0","4.929","0","","0.059","0","0","","0","","0","0","","0","0.151","0.075","0","0","0.044","3.615","0","46.899","0.689","0","","0","0","46.21","","0","0","0","18.063","0","0","0","0","0","1.55","0.091","0","0.247","0.199","0","0","","0","0.301","0.082","0","0.521","0","0.039","","0","0.348","0.253","","0","0.109","1.403"
"227",10358362,"FAME02-17-0300","SHIM2010P_F","1.295","0","0","11.019","0","0","0","4.917","0","0.027","0.064","0","0","8.572","0","","","","0.024","0","0.155","0.078","0.015","0.012","0.046","3.65","0","46.571","0.695","","0.088","0","0.057","45.868","0.031","0","0.024","0","18.164","0","0","0","0","0","1.539","0.092","0","0.248","0.198","0.014","0","0.027","0","0.315","0.082","0","0.539","0","0.034","0.021","0","0.37","0.272","0.023","0","0.11","1.377"
"228",10358436,"FAME02-17-0301","SHIM2010P_B","1.366","0","0","11.335","0","0","0","4.888","0","0.028","0.061","0","0","8.458","0","0.026","0","0","0.026","0","0.163","0.076","0.011","0.011","0.047","3.653","0","46.35","0.698","","0.109","0","0.078","45.644","0.031","0","0","0","18.089","0","0","0","0","0","1.543","0.097","0","0.253","0.199","0","0","","0","0.321","0.077","0","0.527","0","0.037","","0","0.359","0.275","0.025","0","0.115","1.462"
"229",10365348,"FAME02-17-0302","SHIM2010P_F","","0","0","","0","0","0","5.019","0","","0.063","0","0","","0","","0","0","","0","0.166","0.075","0","0","0.045","","0","","0.672","","0.096","0.023","0.036","","0.037","0","0.033","0","18.391","0","0","0","0","0","","0","0","0.226","0.188","0","0","0.033","0","0.322","0.092","0","","0","0.032","0.025","0","0.39","0.244","0.028","","",""
"230",10365357,"FAME02-17-0303","SHIM2010P_B","1.385","0","0","11.374","0","0","0","4.909","0","","0.064","0","0","8.531","0","","0","0","","0","0.154","0.081","0","0","0.047","3.672","0","46.235","0.704","","0.085","0.024","0.043","45.522","","0","0","0","18.228","0","0","0","0","0","1.569","0","0","0.245","0.196","0","0","","0","0.317","0.084","0","0.528","0","0.037","","0","0.375","0.263","","0","0.121","1.501"
"231",10369850,"FAME02-17-0304","SHIM2010P_F","1.307","0","0","11.1","0","0","0","4.887","0","0.03","0.062","0","0","8.562","0","","0","0","","0","0.155","0.079","0","0","0.043","3.709","0","46.584","0.7","0","0.061","0","0.061","45.884","","0","0.03","0","18.147","0","0","0","0","0","1.541","0.094","0","0.257","0.198","0","0","0.03","0","0.322","0.08","0","0.531","0","0.037","","0","0.368","0.274","","0","0.122","1.391"
"232",10369867,"FAME02-17-0305","SHIM2010P_B","1.284","0","0","10.876","0","0","0","4.865","0","0.029","0.066","0","0","8.608","0","0.023","0","0","0.023","0","0.161","0.08","0","0","0.049","3.692","0","46.599","0.695","0","0.086","","0","45.904","0.028","0","0.026","0","18.292","0","0","0","0","0","1.546","0.09","0","0.252","0.204","0","0","0.027","0","0.315","0.083","0","0.537","0","0.035","0.024","0","0.368","0.28","0.027","0","0.112","1.366"
"233",10372087,"FAME02-17-0306","SHIM2010P_F","1.272","0","0","10.865","0","0","0","4.872","0","0.024","0.06","0","0","8.573","0","0.021","0","0","0.021","0","0.151","0.077","0","0","0.05","3.715","0","46.75","0.696","0","0.097","0","0.061","46.054","0.036","0","0","0","18.261","0","0","0","0","0","1.552","0.091","0","0.25","0.196","0","0","0.032","0","0.303","0.079","0","0.538","","0.035","0.022","0","0.355","0.268","0.022","0","0.104","1.345"
"234",10373598,"FAME02-17-0307","SHIM2010P_F","1.307","0","0","10.973","0","0","0","4.873","0","0.028","","0","0","8.571","0","0.021","0","0","0.021","0","0.153","","0.022","0","0.044","3.686","0","46.541","0.707","0","0.115","0","0.071","45.834","","","0.026","0","18.214","0","0","0","0","0","1.553","0.095","0","0.248","0.209","0","0","0.032","0","0.291","0.079","0","0.522","0","0.033","0.022","0","0.35","0.266","0.028","0","0.115","1.392"
"235",10375524,"FAME02-17-0309","SHIM2010P_F","1.327","0","0","11.061","0","0","0","4.884","0","0.028","0.065","0","0","8.572","0","0.024","0","0","0.024","0","0.159","0.077","0","0","0.047","3.678","0","46.387","0.696","0","0.097","0","0.063","45.691","0.034","0","0.019","0","18.229","0","0","0","0","0","1.552","0.094","0","0.237","0.204","0.015","0","0.029","0","0.321","0.088","0","0.534","0","0.036","0.024","0","0.375","0.271","0.024","0","0.115","1.427"
